TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_BLKA_RANK,OPP_PF_RANK,OPP_PFD_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK
1610612760,Oklahoma City Thunder,56,42,14,0.75,48.4,38.4,88.2,0.435,14.4,38.9,0.371,16.9,22.6,0.747,12.2,33.3,45.5,24.9,17,7.5,4.3,5.7,21,19.4,108,-11.7,1,1,2,2,6,2,12,1,28,25,26,4,11,1,27,21,24,6,2,4,7,4,24,21,1,1
1610612753,Orlando Magic,53,28,25,0.528,48.3,41.9,87.1,0.481,12,33,0.362,19.5,24.9,0.781,10.5,33,43.5,25.5,15.4,7.8,5.3,5.2,21.9,21,115.2,0.2,24,16,14,14,9,14,7,25,2,1,20,23,25,12,5,17,13,8,10,9,24,10,29,7,15,17
1610612755,Philadelphia 76ers,54,30,24,0.556,48.7,42.1,89.5,0.471,13,36.7,0.355,18.6,23.9,0.778,12,32.8,44.8,27.8,15.6,7.4,5.1,5.7,20.4,20.3,115.9,-0.3,18,13,13,13,1,15,17,17,14,14,11,17,19,9,24,16,19,26,9,3,20,5,18,11,16,15
1610612756,Phoenix Suns,55,32,23,0.582,48.1,40.2,85.6,0.47,12.3,35.3,0.347,19.1,24.5,0.781,12.1,31.7,43.8,24.8,16.7,8.2,4.3,4,18.9,21.3,111.8,-1.8,9,11,11,11,28,6,2,16,4,6,4,20,20,11,25,10,15,5,3,13,6,29,8,4,5,13
1610612757,Portland Trail Blazers,56,27,29,0.482,48.2,42.8,90.1,0.475,13,36.1,0.36,19.7,24.8,0.796,12.1,31,43.1,26.9,15.2,11,6.1,4.9,21.9,20.4,118.3,2,1,17,18,17,25,21,20,20,12,11,16,26,23,23,26,8,11,16,11,30,30,15,30,10,23,20
1610612758,Sacramento Kings,56,12,44,0.214,48.3,44.1,89.2,0.494,12.8,35.7,0.359,19.7,25,0.785,11.5,33.3,44.9,27.5,14.2,8.7,4.7,4.5,18.8,20.2,120.6,10.5,1,30,30,30,16,27,15,30,10,8,15,25,26,17,15,22,20,25,16,19,14,21,6,12,28,29
1610612759,San Antonio Spurs,54,38,16,0.704,48.1,41.2,90.4,0.456,13.2,36.4,0.362,16.5,21.1,0.783,10.3,32.6,42.9,26.6,13.5,7.8,4.5,5.1,20.9,19,112.2,-6,18,3,3,3,27,10,21,4,15,13,19,2,2,15,4,14,10,12,24,8,9,11,22,24,7,5
1610612761,Toronto Raptors,55,32,23,0.582,48.4,39.9,86.5,0.462,12.8,37.1,0.346,19.6,24.5,0.8,11.2,32.4,43.5,24.6,15.8,8.1,5.3,4.9,19.6,20.9,112.3,-1.5,9,11,11,11,8,5,4,8,11,17,3,24,21,28,9,12,14,4,7,10,23,14,10,8,8,14
1610612762,Utah Jazz,56,18,38,0.321,48.5,44.6,91.4,0.488,15.5,41.8,0.372,21.3,27.4,0.776,11.8,33.1,44.9,30.3,13.7,9.1,5.9,3.5,20.7,22,125.9,7.7,1,25,25,25,4,30,25,28,30,30,27,29,29,6,19,18,22,30,20,27,29,30,20,2,30,28
1610612764,Washington Wizards,53,14,39,0.264,48.2,44.4,92.8,0.478,13.9,38,0.366,20.5,25.8,0.795,13.5,34.3,47.8,28.8,13.5,9.8,5.6,6,17.3,21.1,123.1,11,24,29,27,29,20,28,27,22,22,22,23,27,27,21,30,26,30,29,23,29,27,2,1,6,29,30
